date,service,ridership
2021-11-01,ets,3339
2021-11-02,ets,3683
2021-11-03,ets,4515
2021-11-04,ets,4537
2021-11-05,ets,4115
2021-11-06,ets,4334
2021-11-07,ets,4790
2021-11-08,ets,4465
2021-11-09,ets,3539
2021-11-10,ets,3259
2021-11-11,ets,3468
2021-11-12,ets,4557
2021-11-13,ets,4281
2021-11-14,ets,4868
2021-11-15,ets,3694
2021-11-16,ets,3027
2021-11-17,ets,3102
2021-11-18,ets,3611
2021-11-19,ets,5078
2021-11-20,ets,4778
2021-11-21,ets,5132
2021-11-22,ets,3871
2021-11-23,ets,3283
2021-11-24,ets,3213
2021-11-25,ets,3852
2021-11-26,ets,5223
2021-11-27,ets,4968
2021-11-28,ets,5539
2021-11-29,ets,4033
2021-11-30,ets,3456
2021-12-01,ets,3346
2021-12-02,ets,4234
2021-12-03,ets,5649
2021-12-04,ets,5257
2021-12-05,ets,5531
2021-12-06,ets,4382
2021-12-07,ets,3691
2021-12-08,ets,3847
2021-12-09,ets,4624
2021-12-10,ets,5873
2021-12-11,ets,5862
2021-12-12,ets,6000
2021-12-13,ets,5682
2021-12-14,ets,5081
2021-12-15,ets,5153
2021-12-16,ets,5545
2021-12-17,ets,6167
2021-12-18,ets,5759
2021-12-19,ets,6213
2021-12-20,ets,5982
2021-12-21,ets,5582
2021-12-22,ets,5585
2021-12-23,ets,6507
2021-12-24,ets,6994
2021-12-25,ets,6434
2021-12-26,ets,6946
2021-12-27,ets,6374
2021-12-28,ets,5612
2021-12-29,ets,5653
2021-12-30,ets,5983
2021-12-31,ets,6712
2022-01-01,ets,5789
2022-01-02,ets,6583
2022-01-03,ets,4936
2022-01-04,ets,3981
2022-01-05,ets,3772
2022-01-06,ets,3987
2022-01-07,ets,4988
2022-01-08,ets,4783
2022-01-09,ets,5404
2022-01-10,ets,3764
2022-01-11,ets,2995
2022-01-12,ets,3146
2022-01-13,ets,3727
2022-01-14,ets,4799
2022-01-15,ets,5917
2022-01-16,ets,6331
2022-01-17,ets,4077
2022-01-18,ets,5086
2022-01-19,ets,3591
2022-01-20,ets,4006
2022-01-21,ets,5844
2022-01-22,ets,5196
2022-01-23,ets,6517
2022-01-24,ets,4137
2022-01-25,ets,3782
2022-01-26,ets,4145
2022-01-27,ets,5752
2022-01-28,ets,9980
2022-01-29,ets,10369
2022-01-30,ets,9715
2022-01-31,ets,9375
2022-02-01,ets,8567
2022-02-02,ets,10361
2022-02-03,ets,9344
2022-02-04,ets,9071
2022-02-05,ets,9280
2022-02-06,ets,10211
2022-02-07,ets,6522
2022-02-08,ets,4474
2022-02-09,ets,4337
2022-02-10,ets,4597
2022-02-11,ets,6706
2022-02-12,ets,6086
2022-02-13,ets,7478
2022-02-14,ets,4530
2022-02-15,ets,3692
2022-02-16,ets,3708
2022-02-17,ets,4200
2022-02-18,ets,6253
2022-02-19,ets,5540
2022-02-20,ets,7013
2022-02-21,ets,4402
2022-02-22,ets,3656
2022-02-23,ets,3814
2022-02-24,ets,4485
2022-02-25,ets,6999
2022-02-26,ets,6376
2022-02-27,ets,7189
2022-02-28,ets,5295
2022-03-01,ets,4620
2022-03-02,ets,4293
2022-03-03,ets,5133
2022-03-04,ets,7716
2022-03-05,ets,6507
2022-03-06,ets,7976
2022-03-07,ets,5494
2022-03-08,ets,4752
2022-03-09,ets,4488
2022-03-10,ets,5642
2022-03-11,ets,7468
2022-03-12,ets,6686
2022-03-13,ets,8512
2022-03-14,ets,5779
2022-03-15,ets,5042
2022-03-16,ets,5259
2022-03-17,ets,5423
2022-03-18,ets,7704
2022-03-19,ets,6783
2022-03-20,ets,8397
2022-03-21,ets,4976
2022-03-22,ets,4125
2022-03-23,ets,4274
2022-03-24,ets,5742
2022-03-25,ets,9185
2022-03-26,ets,8334
2022-03-27,ets,9520
2022-03-28,ets,6433
2022-03-29,ets,5170
2022-03-30,ets,5327
2022-03-31,ets,6515
2022-04-01,ets,9382
2022-04-02,ets,8056
2022-04-03,ets,7555
2022-04-04,ets,6337
2022-04-05,ets,4615
2022-04-06,ets,4093
2022-04-07,ets,4698
2022-04-08,ets,8188
2022-04-09,ets,6134
2022-04-10,ets,8578
2022-04-11,ets,5048
2022-04-12,ets,3836
2022-04-13,ets,4250
2022-04-14,ets,5435
2022-04-15,ets,8702
2022-04-16,ets,7142
2022-04-17,ets,8427
2022-04-18,ets,5143
2022-04-19,ets,7028
2022-04-20,ets,4554
2022-04-21,ets,4779
2022-04-22,ets,8074
2022-04-23,ets,7361
2022-04-24,ets,8836
2022-04-25,ets,5816
2022-04-26,ets,5884
2022-04-27,ets,7766
2022-04-28,ets,10501
2022-04-29,ets,13138
2022-04-30,ets,13038
2022-05-01,ets,11557
2022-05-02,ets,10035
2022-05-03,ets,10614
2022-05-04,ets,12496
2022-05-05,ets,11659
2022-05-06,ets,11975
2022-05-07,ets,12319
2022-05-08,ets,13248
2022-05-09,ets,10182
2022-05-10,ets,8414
2022-05-11,ets,6857
2022-05-12,ets,7631
2022-05-13,ets,11468
2022-05-14,ets,11873
2022-05-15,ets,11485
2022-05-16,ets,11889
2022-05-17,ets,7578
2022-05-18,ets,6056
2022-05-19,ets,7065
2022-05-20,ets,10211
2022-05-21,ets,9706
2022-05-22,ets,10961
2022-05-23,ets,7751
2022-05-24,ets,6277
2022-05-25,ets,6516
2022-05-26,ets,8633
2022-05-27,ets,11811
2022-05-28,ets,11046
2022-05-29,ets,11382
2022-05-30,ets,8496
2022-05-31,ets,6739
2022-06-01,ets,7284
2022-06-02,ets,10210
2022-06-03,ets,12720
2022-06-04,ets,12722
2022-06-05,ets,12735
2022-06-06,ets,12776
2022-06-07,ets,12234
2022-06-08,ets,11436
2022-06-09,ets,11725
2022-06-10,ets,12326
2022-06-11,ets,12376
2022-06-12,ets,12390
2022-06-13,ets,9364
2022-06-14,ets,6927
2022-06-15,ets,7545
2022-06-16,ets,8553
2022-06-17,ets,11463
2022-06-18,ets,10602
2022-06-19,ets,11542
2022-06-20,ets,9577
2022-06-21,ets,7342
2022-06-22,ets,7033
2022-06-23,ets,8712
2022-06-24,ets,11742
2022-06-25,ets,11139
2022-06-26,ets,11564
2022-06-27,ets,9469
2022-06-28,ets,7227
2022-06-29,ets,7219
2022-06-30,ets,8647
2022-07-01,ets,11390
2022-07-02,ets,10943
2022-07-03,ets,11664
2022-07-04,ets,9153
2022-07-05,ets,7191
2022-07-06,ets,9374
2022-07-07,ets,11857
2022-07-08,ets,12545
2022-07-09,ets,11979
2022-07-10,ets,10676
2022-07-11,ets,12375
2022-07-12,ets,11839
2022-07-13,ets,10012
2022-07-14,ets,8929
2022-07-15,ets,11106
2022-07-16,ets,10479
2022-07-17,ets,11315
2022-07-18,ets,9214
2022-07-19,ets,6854
2022-07-20,ets,7279
2022-07-21,ets,8143
2022-07-22,ets,11128
2022-07-23,ets,10329
2022-07-24,ets,11126
2022-07-25,ets,9366
2022-07-26,ets,7460
2022-07-27,ets,7294
2022-07-28,ets,9374
2022-07-29,ets,11840
2022-07-30,ets,11196
2022-07-31,ets,11371
2022-08-01,ets,9563
2022-08-02,ets,7305
2022-08-03,ets,6936
2022-08-04,ets,8450
2022-08-05,ets,11552
2022-08-06,ets,10942
2022-08-07,ets,11689
2022-08-08,ets,9433
2022-08-09,ets,7451
2022-08-10,ets,7445
2022-08-11,ets,8677
2022-08-12,ets,11523
2022-08-13,ets,10748
2022-08-14,ets,11683
2022-08-15,ets,9618
2022-08-16,ets,7415
2022-08-17,ets,7278
2022-08-18,ets,8749
2022-08-19,ets,11455
2022-08-20,ets,10881
2022-08-21,ets,11561
2022-08-22,ets,9305
2022-08-23,ets,6903
2022-08-24,ets,7095
2022-08-25,ets,8562
2022-08-26,ets,11632
2022-08-27,ets,11091
2022-08-28,ets,11745
2022-08-29,ets,9155
2022-08-30,ets,9611
2022-08-31,ets,10933
2022-09-01,ets,10086
2022-09-02,ets,12308
2022-09-03,ets,12082
2022-09-04,ets,12214
2022-09-05,ets,11813
2022-09-06,ets,11483
2022-09-07,ets,11865
2022-09-08,ets,11979
2022-09-09,ets,12368
2022-09-10,ets,12280
2022-09-11,ets,12322
2022-09-12,ets,10795
2022-09-13,ets,8217
2022-09-14,ets,9843
2022-09-15,ets,12441
2022-09-16,ets,12538
2022-09-17,ets,11489
2022-09-18,ets,12568
2022-09-19,ets,10925
2022-09-20,ets,7902
2022-09-21,ets,7194
2022-09-22,ets,8368
2022-09-23,ets,11475
2022-09-24,ets,10924
2022-09-25,ets,11604
2022-09-26,ets,9472
2022-09-27,ets,7231
2022-09-28,ets,7693
2022-09-29,ets,8993
2022-09-30,ets,11738
2022-10-01,ets,11733
2022-10-02,ets,11920
2022-10-03,ets,9980
2022-10-04,ets,7366
2022-10-05,ets,7822
2022-10-06,ets,10439
2022-10-07,ets,13163
2022-10-08,ets,13163
2022-10-09,ets,11912
2022-10-10,ets,13325
2022-10-11,ets,10498
2022-10-12,ets,8353
2022-10-13,ets,8881
2022-10-14,ets,11271
2022-10-15,ets,11381
2022-10-16,ets,11659
2022-10-17,ets,9250
2022-10-18,ets,6970
2022-10-19,ets,8201
2022-10-20,ets,11498
2022-10-21,ets,14575
2022-10-22,ets,13490
2022-10-23,ets,13094
2022-10-24,ets,13647
2022-10-25,ets,12271
2022-10-26,ets,11757
2022-10-27,ets,9998
2022-10-28,ets,11643
2022-10-29,ets,11631
2022-10-30,ets,12453
2022-10-31,ets,9570
2022-11-01,ets,6666
2022-11-02,ets,6614
2022-11-03,ets,10525
2022-11-04,ets,12356
2022-11-05,ets,10995
2022-11-06,ets,12063
2022-11-07,ets,9986
2022-11-08,ets,7008
2022-11-09,ets,7107
2022-11-10,ets,8812
2022-11-11,ets,11988
2022-11-12,ets,11750
2022-11-13,ets,11505
2022-11-14,ets,10055
2022-11-15,ets,10595
2022-11-16,ets,13041
2022-11-17,ets,13612
2022-11-18,ets,14150
2022-11-19,ets,12923
2022-11-20,ets,13364
2022-11-21,ets,12949
2022-11-22,ets,10703
2022-11-23,ets,9367
2022-11-24,ets,9695
2022-11-25,ets,11908
2022-11-26,ets,12635
2022-11-27,ets,12204
2022-11-28,ets,12371
2022-11-29,ets,8864
2022-11-30,ets,8439
2022-12-01,ets,10045
2022-12-02,ets,12266
2022-12-03,ets,12430
2022-12-04,ets,12098
2022-12-05,ets,10782
2022-12-06,ets,9687
2022-12-07,ets,9940
2022-12-08,ets,11476
2022-12-09,ets,13356
2022-12-10,ets,13025
2022-12-11,ets,13082
2022-12-12,ets,12649
2022-12-13,ets,11459
2022-12-14,ets,11186
2022-12-15,ets,11957
2022-12-16,ets,13120
2022-12-17,ets,13113
2022-12-18,ets,13146
2022-12-19,ets,12703
2022-12-20,ets,11973
2022-12-21,ets,11934
2022-12-22,ets,12643
2022-12-23,ets,13975
2022-12-24,ets,13507
2022-12-25,ets,13159
2022-12-26,ets,13366
2022-12-27,ets,12122
2022-12-28,ets,12266
2022-12-29,ets,12248
2022-12-30,ets,13236
2022-12-31,ets,13161
2023-01-01,ets,12963
2023-01-02,ets,13264
2023-01-03,ets,10693
2023-01-04,ets,7931
2023-01-05,ets,8206
2023-01-06,ets,10832
2023-01-07,ets,10451
2023-01-08,ets,11119
2023-01-09,ets,8307
2023-01-10,ets,6468
2023-01-11,ets,6912
2023-01-12,ets,8193
2023-01-13,ets,11138
2023-01-14,ets,10495
2023-01-15,ets,11032
2023-01-16,ets,9169
2023-01-17,ets,8173
2023-01-18,ets,10009
2023-01-19,ets,12776
2023-01-20,ets,13872
2023-01-21,ets,13327
2023-01-22,ets,11872
2023-01-23,ets,13388
2023-01-24,ets,13658
2023-01-25,ets,12154
2023-01-26,ets,11328
2023-01-27,ets,12218
2023-01-28,ets,12143
2023-01-29,ets,12238
2023-01-30,ets,10879
2023-01-31,ets,9947
2023-02-01,ets,9505
2023-02-02,ets,10409
2023-02-03,ets,12206
2023-02-04,ets,12311
2023-02-05,ets,11753
2023-02-06,ets,12340
2023-02-07,ets,10328
2023-02-08,ets,9013
2023-02-09,ets,9630
2023-02-10,ets,11875
2023-02-11,ets,10992
2023-02-12,ets,11550
2023-02-13,ets,10494
2023-02-14,ets,8392
2023-02-15,ets,9192
2023-02-16,ets,10537
2023-02-17,ets,12806
2023-02-18,ets,12566
2023-02-19,ets,12850
2023-02-20,ets,11562
2023-02-21,ets,10320
2023-02-22,ets,10415
2023-02-23,ets,11461
2023-02-24,ets,13289
2023-02-25,ets,12975
2023-02-26,ets,13026
2023-02-27,ets,11758
2023-02-28,ets,10897
2023-03-01,ets,11024
2023-03-02,ets,11458
2023-03-03,ets,13146
2023-03-04,ets,12783
2023-03-05,ets,12938
2023-03-06,ets,11831
2023-03-07,ets,10996
2023-03-08,ets,11023
2023-03-09,ets,11763
2023-03-10,ets,13415
2023-03-11,ets,12758
2023-03-12,ets,13055
2023-03-13,ets,11865
2023-03-14,ets,10927
2023-03-15,ets,10946
2023-03-16,ets,11482
2023-03-17,ets,13112
2023-03-18,ets,12746
2023-03-19,ets,13260
2023-03-20,ets,10964
2023-03-21,ets,8371
2023-03-22,ets,9219
2023-03-23,ets,9737
2023-03-24,ets,11610
2023-03-25,ets,10944
2023-03-26,ets,12333
2023-03-27,ets,10000
2023-03-28,ets,6945
2023-03-29,ets,6720
2023-03-30,ets,9362
2023-03-31,ets,12005
2023-04-01,ets,10987
2023-04-02,ets,12160
2023-04-03,ets,9730
2023-04-04,ets,7228
2023-04-05,ets,6875
2023-04-06,ets,9858
2023-04-07,ets,12350
2023-04-08,ets,10675
2023-04-09,ets,12351
2023-04-10,ets,9999
2023-04-11,ets,7898
2023-04-12,ets,8130
2023-04-13,ets,10993
2023-04-14,ets,12823
2023-04-15,ets,12194
2023-04-16,ets,11837
2023-04-17,ets,10732
2023-04-18,ets,11716
2023-04-19,ets,13599
2023-04-20,ets,13884
2023-04-21,ets,13537
2023-04-22,ets,12251
2023-04-23,ets,13218
2023-04-24,ets,13745
2023-04-25,ets,13423
2023-04-26,ets,11534
2023-04-27,ets,11671
2023-04-28,ets,13650
2023-04-29,ets,13613
2023-04-30,ets,13983
2023-05-01,ets,14584
2023-05-02,ets,11534
2023-05-03,ets,10967
2023-05-04,ets,11027
2023-05-05,ets,11341
2023-05-06,ets,11514
2023-05-07,ets,12101
2023-05-08,ets,10384
2023-05-09,ets,7634
2023-05-10,ets,7951
2023-05-11,ets,9595
2023-05-12,ets,12162
2023-05-13,ets,11360
2023-05-14,ets,11892
2023-05-15,ets,10475
2023-05-16,ets,7476
2023-05-17,ets,7714
2023-05-18,ets,9541
2023-05-19,ets,11899
2023-05-20,ets,11420
2023-05-21,ets,11793
2023-05-22,ets,10360
2023-05-23,ets,8229
2023-05-24,ets,8678
2023-05-25,ets,11362
2023-05-26,ets,13820
2023-05-27,ets,13185
2023-05-28,ets,13030
2023-05-29,ets,12789
2023-05-30,ets,12488
2023-05-31,ets,11995
2023-06-01,ets,13028
2023-06-02,ets,13546
2023-06-03,ets,13121
2023-06-04,ets,13022
2023-06-05,ets,13518
2023-06-06,ets,11712
2023-06-07,ets,9942
2023-06-08,ets,9823
2023-06-09,ets,11664
2023-06-10,ets,11417
2023-06-11,ets,11788
2023-06-12,ets,10525
2023-06-13,ets,8223
2023-06-14,ets,8512
2023-06-15,ets,10106
2023-06-16,ets,11875
2023-06-17,ets,11650
2023-06-18,ets,11953
2023-06-19,ets,11082
2023-06-20,ets,8549
2023-06-21,ets,8892
2023-06-22,ets,10935
2023-06-23,ets,12480
2023-06-24,ets,12082
2023-06-25,ets,11759
2023-06-26,ets,11357
2023-06-27,ets,13424
2023-06-28,ets,13881
2023-06-29,ets,12455
2023-06-30,ets,13400
2023-07-01,ets,13735
2023-07-02,ets,14428
2023-07-03,ets,11903
2023-07-04,ets,9906
2023-07-05,ets,8811
2023-07-06,ets,10245
2023-07-07,ets,12015
2023-07-08,ets,11676
2023-07-09,ets,11996
2023-07-10,ets,11082
2023-07-11,ets,9010
2023-07-12,ets,9132
2023-07-13,ets,10700
2023-07-14,ets,12271
2023-07-15,ets,11868
2023-07-16,ets,11885
2023-07-17,ets,11269
2023-07-18,ets,10573
2023-07-19,ets,10928
2023-07-20,ets,10749
2023-07-21,ets,12074
2023-07-22,ets,11669
2023-07-23,ets,12164
2023-07-24,ets,10910
2023-07-25,ets,9743
2023-07-26,ets,10016
2023-07-27,ets,11166
2023-07-28,ets,12452
2023-07-29,ets,11911
2023-07-30,ets,12089
2023-07-31,ets,11209
2023-08-01,ets,9277
2023-08-02,ets,9232
2023-08-03,ets,10354
2023-08-04,ets,12023
2023-08-05,ets,11804
2023-08-06,ets,11811
2023-08-07,ets,10875
2023-08-08,ets,9527
2023-08-09,ets,10246
2023-08-10,ets,11557
2023-08-11,ets,12954
2023-08-12,ets,12242
2023-08-13,ets,13083
2023-08-14,ets,11278
2023-08-15,ets,9895
2023-08-16,ets,9305
2023-08-17,ets,10449
2023-08-18,ets,11828
2023-08-19,ets,11551
2023-08-20,ets,11606
2023-08-21,ets,10681
2023-08-22,ets,8773
2023-08-23,ets,9191
2023-08-24,ets,10896
2023-08-25,ets,13271
2023-08-26,ets,12573
2023-08-27,ets,12635
2023-08-28,ets,12493
2023-08-29,ets,12540
2023-08-30,ets,12999
2023-08-31,ets,12967
2023-09-01,ets,12890
2023-09-02,ets,12608
2023-09-03,ets,13116
2023-09-04,ets,11270
2023-09-05,ets,9061
2023-09-06,ets,8590
2023-09-07,ets,10127
2023-09-08,ets,12158
2023-09-09,ets,11481
2023-09-10,ets,11925
2023-09-11,ets,10570
2023-09-12,ets,8035
2023-09-13,ets,9064
2023-09-14,ets,10824
2023-09-15,ets,12385
2023-09-16,ets,11990
2023-09-17,ets,12128
2023-09-18,ets,11345
2023-09-19,ets,8888
2023-09-20,ets,9050
2023-09-21,ets,10084
2023-09-22,ets,11602
2023-09-23,ets,11433
2023-09-24,ets,11513
2023-09-25,ets,10715
2023-09-26,ets,9692
2023-09-27,ets,11477
2023-09-28,ets,11956
2023-09-29,ets,12109
2023-09-30,ets,11917
2023-10-01,ets,12281
2023-10-02,ets,11218
2023-10-03,ets,9109
2023-10-04,ets,8355
2023-10-05,ets,10339
2023-10-06,ets,12073
2023-10-07,ets,11759
2023-10-08,ets,11987
2023-10-09,ets,10689
